kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,mixed_json_tcp,1,current,655379.0941450266,561852.9935587761,612733.6988207946,701296.7247515323
decode,mixed_json_tcp,1,published,989158.1971194498,926142.9551282051,948508.4875493508,1037021.7632177233
decode,mixed_json_tcp,1,core,740499.1894459148,698422.4892473118,708052.0153278686,779800.8422222361
decode,mixed_json_tcp,2,current,565511.605406387,541122.6111111111,548708.4871932766,586290.2574982034
decode,mixed_json_tcp,2,published,959677.017178924,927414.8958333334,937329.7211916031,987291.5190717148
decode,mixed_json_tcp,2,core,716189.1534086266,696364.6,699267.304964242,738306.8496961328
decode,mixed_json_tcp,3,current,588779.3383859468,556807.0628342247,567628.901755583,614202.7092982876
decode,mixed_json_tcp,3,published,988535.3997377672,953949.968805704,958312.9464413046,1022615.9687559492
decode,mixed_json_tcp,3,core,787813.0164960581,749782.01625,754111.523064257,826166.1689729956
decode,mixed_json_whole,1,current,524011.6536962036,505577.641025641,506312.61988813756,547910.5856997487
decode,mixed_json_whole,1,published,1139155.9857409305,1078395.966878403,1094182.4397842905,1194694.591423204
decode,mixed_json_whole,1,core,702818.899689384,668025.6958525346,670717.6465534604,744561.9349151603
decode,mixed_json_whole,2,current,513129.8998418511,499985.1324074074,499256.4542800189,531440.3403047425
decode,mixed_json_whole,2,published,1121667.0201172107,1060622.7321428573,1083390.1717682902,1167487.6623243205
decode,mixed_json_whole,2,core,745249.9665202396,664605.7004166667,708309.5394010742,786156.0703192155
decode,mixed_json_whole,3,current,539049.5825899442,514239.33725182863,523384.5321467636,556890.2591692916
decode,mixed_json_whole,3,published,1444178.5518882535,1430303.756756757,1377751.4006959961,1516457.9202108094
decode,mixed_json_whole,3,core,944625.4310551336,747578.3402406417,841461.1576819395,1069987.1968713128
decode,mixed_multiline_tcp,1,current,494850.929686616,479053.05454545456,480677.6592936382,514760.36758410063
decode,mixed_multiline_tcp,1,published,1035506.3878763696,974274.5282608696,988474.9527842327,1091706.1986965414
decode,mixed_multiline_tcp,1,core,778781.3677316655,721572.4535714285,735557.7834572395,831762.4673309023
decode,mixed_multiline_tcp,2,current,506412.8688522178,494733.22222222225,495086.8261130818,521056.00542329124
decode,mixed_multiline_tcp,2,published,918335.045947385,853800.8509615385,875869.3184718079,965109.11328373
decode,mixed_multiline_tcp,2,core,721724.0655240635,682685.079248366,689325.4178776179,763275.0436723119
decode,mixed_multiline_tcp,3,current,477275.9043575217,464826.07644927537,468448.57299363415,487588.95053264836
decode,mixed_multiline_tcp,3,published,1067185.5099728452,942306.0803571428,1002376.4767182732,1136391.1003847397
decode,mixed_multiline_tcp,3,core,920657.0475517532,851274.7567567567,868342.6826709195,977365.1083239098
decode,mixed_multiline_whole,1,current,496609.0118334256,476661.24242424243,478897.52773024666,519984.6292308138
decode,mixed_multiline_whole,1,published,1052138.3176306817,972282.2756410256,998645.100324184,1118418.6309475012
decode,mixed_multiline_whole,1,core,850135.729080702,736407.6466666667,789063.751928299,917499.0481991612
decode,mixed_multiline_whole,2,current,479195.5273789015,464243.313202879,465597.68906286,496211.85750953096
decode,mixed_multiline_whole,2,published,965766.1844220618,922029.8461538462,926215.5160751839,1012590.341760286
decode,mixed_multiline_whole,2,core,731156.0827272541,691993.1083333334,699023.3255993874,770536.1922488924
