kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,mixed_json_tcp,1,core,696162.628220998,668453.1781609196,678633.6587081613,716592.5102803152
decode,mixed_json_tcp,2,current,558201.5745276858,485510.43869047624,524738.8239838284,593746.0011254034
decode,mixed_json_tcp,2,baseline,594194.7017334894,568062.0476190476,570582.4793285964,623655.2652933034
decode,mixed_json_tcp,2,core,873720.012531035,791459.0293560605,824114.4003345135,926884.4466440623
decode,mixed_json_tcp,3,current,505969.1976346973,472292.0,483297.94817398576,532546.472819108
decode,mixed_json_tcp,3,baseline,590237.9970520934,566048.6527777778,569107.0105576363,617110.9195054136
decode,mixed_json_tcp,3,core,810813.0170409254,719528.5416666667,761003.8835150737,864070.330695142
decode,mixed_json_whole,1,current,467507.3374693849,403771.3997747748,437929.0992718151,499113.81233831256
decode,mixed_json_whole,1,baseline,525504.1086901327,477093.78057275544,498742.6160358681,555572.7476390555
decode,mixed_json_whole,1,core,626574.6244096953,601516.3578125,605001.4632289923,655436.639929855
decode,mixed_json_whole,2,current,470963.01348751626,426111.13994565216,445931.86030020105,499393.3382956021
decode,mixed_json_whole,2,baseline,515665.85627373616,504828.57028985507,504671.81252985593,531411.4473165149
decode,mixed_json_whole,2,core,697207.2215973162,662582.6635532591,663728.610410609,737320.1060352596
decode,mixed_json_whole,3,current,440383.65969781147,425107.7623089983,429071.7106798336,455176.8194644596
decode,mixed_json_whole,3,baseline,516822.86593632837,503979.29618768324,508216.92278847646,526350.0063595145
decode,mixed_json_whole,3,core,699681.062629,649959.2192887932,669040.7915316037,735424.7231826665
decode,mixed_multiline_tcp,1,current,422244.20669402863,402348.76461988303,406460.2619316134,443530.4193763149
decode,mixed_multiline_tcp,1,baseline,456377.80070554715,437386.46527777775,441897.23188357183,476111.9120123836
decode,mixed_multiline_tcp,1,core,726616.5419172292,674049.903256705,688565.6412073858,772785.6714072048
