run,scenario,variant,mean_ns,mean_ci_low,mean_ci_high,median_ns,ratio_to_baseline,ratio_to_step1,ratio_to_core
focus2,json_metadata_after_tcp,step2,1517865.8816155994,1492644.4722610563,1546218.2562807885,1470801.8415750917,1.0293056450436247,1.0134312812903536,0.9790074778629297
focus2,keepalive_4b_chunks,baseline,11960665.32,11831195.715750001,12107368.4805,11748831.0,1.0,1.0167835390079352,0.9409296503155684
focus2,keepalive_4b_chunks,core,12711540.46,12610423.00825,12840495.49625,12572106.25,1.0627787100391837,1.0806158979759295,1.0
focus2,keepalive_4b_chunks,step1,11763236.58,11654805.3985,11889817.47175,11654730.25,0.9834934985038106,1.0,0.9253981936348256
focus2,keepalive_4b_chunks,step2,12223411.75,12107183.78625,12357982.533499999,12039917.5,1.0219675430229327,1.0391197751461019,0.9615995628904287
focus2,keepalive_whole_stream_chunk,baseline,1070909.9379909323,1053423.3768949658,1092102.4249607134,1057665.005050505,1.0,1.0649639460450226,1.0054078938098334
focus2,keepalive_whole_stream_chunk,core,1065149.721405995,1042780.0736657935,1094131.2127846023,1036309.9319148937,0.9946211942007527,1.0592357117960463,1.0
focus2,keepalive_whole_stream_chunk,step1,1005583.280042476,977553.2564259893,1037237.4520022798,950102.5111972438,0.9389989245304684,1.0,0.944076931001877
focus2,keepalive_whole_stream_chunk,step2,1132466.119393844,1103923.3699591386,1167512.1924110637,1085930.8232142855,1.0574802597484467,1.126178350286421,1.0631990006991612
focus2,metadata_events_tcp_chunks,baseline,4142506.2466666657,4039453.881666666,4259491.309166668,3934087.25,1.0,0.9846943408800581,0.917005015660927
focus2,metadata_events_tcp_chunks,core,4517430.304,4454494.667599999,4598567.9235000005,4447544.0,1.0905065762145858,1.0738156542909905,1.0
focus2,metadata_events_tcp_chunks,step1,4206895.556,4115846.2673000004,4314424.205399999,4080965.9000000004,1.0155435636060044,1.0,0.9312585414488778
focus2,metadata_events_tcp_chunks,step2,4262029.056000002,4159922.249500001,4383734.6367999995,4104629.5,1.0288527770910454,1.0131055072002844,0.9434631569691622
focus2,multiline_data_tcp_chunks,baseline,2795127.5175,2726610.7190625,2872592.917375,2686630.9375,1.0,1.0184113745093946,0.9917830064652609
focus2,multiline_data_tcp_chunks,core,2818285.35,2722393.5433124998,2937835.5340625,2680503.375,1.008285071917117,1.0268489859884147,1.0
focus2,multiline_data_tcp_chunks,step1,2744595.7375,2701812.1880624997,2796353.7134375,2684551.625,0.9819214759671514,1.0,0.9738530335475077
focus2,multiline_data_tcp_chunks,step2,2895621.6475,2825169.9396875002,2976593.306125,2768642.5625,1.035953325696526,1.0550266503501775,1.0274409039169863
focus2,small_data_tcp_chunks,baseline,3827386.216666666,3785428.0841666665,3878338.8108333317,3768795.25,1.0,0.991790045726737,1.2458730645194802
focus2,small_data_tcp_chunks,core,3072051.5,3032816.070666666,3121158.743083334,3024873.333333333,0.8026499877703747,0.7960602680733448,1.0
focus2,small_data_tcp_chunks,step1,3859068.996666666,3813849.531416666,3916167.323916667,3814910.583333333,1.0082779155816664,1.0,1.2561862965730444
focus2,small_data_tcp_chunks,step2,4356010.629999999,4047584.6837500003,4746506.579583332,3870239.4166666665,1.1381162974960288,1.128772414735931,1.4179484393409416
focus2,small_data_whole_stream_chunk,baseline,3831169.3433333323,3778063.678250001,3894219.619916667,3775628.0,1.0,0.951701477781679,1.2357905621210916
focus2,small_data_whole_stream_chunk,core,3100176.891428571,3050165.381642858,3160030.3750714273,3030131.785714286,0.8091986058573029,0.7701155090132696,1.0
focus2,small_data_whole_stream_chunk,step1,4025599.8680000002,3865736.1158999996,4222867.136000001,3789123.2,1.0507496555862244,1.0,1.2985065075254436
focus2,small_data_whole_stream_chunk,step2,3900132.531999999,3844989.0484,3968640.298699999,3839401.7,1.0180005587032248,0.9688326361004339,1.2580354826794435
focus2,varied_sizes_tcp,baseline,38926.504298244974,37997.07551690775,40171.42629115388,37505.531006864985,1.0,1.1254442164133769,1.1728179680604156
focus2,varied_sizes_tcp,core,33190.57633694076,32083.392122644193,34585.5982256961,31474.522945736433,0.8526472370250101,0.9596069015506434,1.0
focus2,varied_sizes_tcp,step1,34587.679896119545,33810.53619117792,35599.8719009267,33624.06510416667,0.8885380416160038,1.0,1.0420933805124628
focus2,varied_sizes_tcp,step2,35515.24376398848,34747.11183266136,36554.270575137765,34539.52005130975,0.912366635644437,1.0268177533345624,1.0700399837426262
focus3,json_crlf_tcp,baseline,2017503.009090909,1956322.0734545456,2095108.3824090916,1926232.772727273,1.0,0.9957503594237032,0.9175022495784163
focus3,json_crlf_tcp,core,2198907.97,2134199.31435,2280889.1605999996,2102653.2,1.0899155838140895,1.0852838343243747,1.0
focus3,json_crlf_tcp,step1,2026113.2622222218,1977296.4862222222,2086398.477722222,1949109.611111111,1.0042677770950104,1.0,0.9214179446637877
focus3,json_crlf_tcp,step2,2100098.2,2038792.618545454,2174824.0556818177,2006780.3636363638,1.0409393148545085,1.03651569690464,0.9550641630536271
focus3,json_metadata_after_tcp,baseline,1486511.3338461537,1444781.614,1538722.089,1421585.8846153845,1.0,1.0037070223079372,0.9611619844056168
focus3,json_metadata_after_tcp,core,1546577.3282381878,1505666.3150150017,1594022.1637860427,1472900.0915151513,1.0404073571619674,1.0442641704443087,1.0
