mode,scenario,variant,reference,rounds,ratio_median,ratio_p10,ratio_p90
bytes_tokio,small_data_4b_chunks,baseline,step1,31,0.997564486577412,0.9909780820198455,1.0231138502352808
bytes_tokio,small_data_4b_chunks,baseline,core,31,1.1709628954985625,1.148686367745157,1.1776522433168524
bytes_tokio,small_data_4b_chunks,core,baseline,31,0.8539980249111382,0.8491471108512514,0.870559648029057
bytes_tokio,small_data_4b_chunks,core,step1,31,0.851913345772876,0.8468665119561097,0.8644744721069824
bytes_tokio,small_data_4b_chunks,step1,baseline,31,1.0024414596302882,0.9774083302362045,1.009104054008708
bytes_tokio,small_data_4b_chunks,step1,core,31,1.1738283065547896,1.1567721572653284,1.1808236432565735
bytes_tokio,small_data_event_chunks,baseline,step1,31,1.0130783886829189,0.99103811754818,1.0520173619752948
bytes_tokio,small_data_event_chunks,baseline,core,31,1.113913217575408,1.0205936405967484,1.1627710308814294
bytes_tokio,small_data_event_chunks,core,baseline,31,0.8977360033276591,0.8600145458061145,0.9798218999437355
bytes_tokio,small_data_event_chunks,core,step1,31,0.9090228935927782,0.8951433337220581,0.98273455730152
bytes_tokio,small_data_event_chunks,step1,baseline,31,0.9870904474628842,0.9505546544615712,1.0090429240743954
bytes_tokio,small_data_event_chunks,step1,core,31,1.1000823049105488,1.01756877538314,1.1171395265179955
bytes_tokio,small_data_tcp_chunks,baseline,step1,31,1.0024226312231408,0.9992807043247923,1.0122957355747144
bytes_tokio,small_data_tcp_chunks,baseline,core,31,1.2243453165592066,1.2024409653425148,1.250698091854138
bytes_tokio,small_data_tcp_chunks,core,baseline,31,0.8167630377435615,0.7995534705881877,0.8316416596095847
bytes_tokio,small_data_tcp_chunks,core,step1,31,0.8187417533807063,0.8085260039756615,0.8343169677407686
bytes_tokio,small_data_tcp_chunks,step1,baseline,31,0.9975832237344994,0.987853613185742,1.0007198134338977
bytes_tokio,small_data_tcp_chunks,step1,core,31,1.2213863478573694,1.1985852363854967,1.2368185996279994
bytes_tokio,small_data_whole_stream_chunk,baseline,step1,31,1.004867809712446,0.9877435401897142,1.0205388985737143
bytes_tokio,small_data_whole_stream_chunk,baseline,core,31,1.2295224382924177,1.203762240884768,1.2638570537826894
bytes_tokio,small_data_whole_stream_chunk,core,baseline,31,0.81332391248493,0.7912287208486335,0.8307288316877242
bytes_tokio,small_data_whole_stream_chunk,core,step1,31,0.8186891086179855,0.8045909951445346,0.8421468917218151
bytes_tokio,small_data_whole_stream_chunk,step1,baseline,31,0.9951557710721782,0.9798744578943349,1.0124085446389572
bytes_tokio,small_data_whole_stream_chunk,step1,core,31,1.2214648875543028,1.1874413001221742,1.242867501668177
bytes_tokio,varied_sizes_tcp,baseline,step1,31,1.109328554462165,1.0943180723987227,1.1339689989282769
bytes_tokio,varied_sizes_tcp,baseline,core,31,1.2139248036174466,1.1755226778509849,1.2471183789811717
bytes_tokio,varied_sizes_tcp,core,baseline,31,0.8237742544019535,0.8018484987904243,0.8506854175098824
bytes_tokio,varied_sizes_tcp,core,step1,31,0.9146091987897597,0.9024622829984166,0.9430565056405635
bytes_tokio,varied_sizes_tcp,step1,baseline,31,0.9014461910113091,0.8818583232390902,0.9138110986397406
bytes_tokio,varied_sizes_tcp,step1,core,31,1.0933631558956898,1.0603818477671791,1.1080795495159266
encode_owned,empty_with_retry,baseline,step1,31,2.7005226441470915,2.647688442672186,2.771776855439264
encode_owned,empty_with_retry,step1,baseline,31,0.3702986909468522,0.36077940330500474,0.3776879423890024
encode_owned,large_ascii,baseline,step1,31,1.0342165866605246,1.0311083315190461,1.0392500199760835
encode_owned,large_ascii,step1,baseline,31,0.9669154535888758,0.9622323606238787,0.9698302006024753
encode_owned,large_utf8,baseline,step1,31,1.5527626782767887,1.544037372633167,1.5626645157162753
encode_owned,large_utf8,step1,baseline,31,0.6440134181417673,0.6399326214569043,0.6476527173008916
encode_owned,metadata_json,baseline,step1,31,2.5312916673718258,2.494756753962473,2.5700114796638953
encode_owned,metadata_json,step1,baseline,31,0.3950552253183348,0.38910332032088024,0.40084068252813815
encode_owned,small_json,baseline,step1,31,3.423352362322996,3.2640179154844193,3.4948317318412294
encode_owned,small_json,step1,baseline,31,0.29211132660659755,0.28613680907411143,0.30637086740732183
